sensorMov,hora,dia,dia_semana,sensorLDR,lamp
0,00:58:35,21-09-18,5,749,lamp
0,00:58:36,21-09-18,5,747,lamp
0,00:58:36,21-09-18,5,748,lamp
0,00:58:37,21-09-18,5,752,lamp
0,00:58:37,21-09-18,5,754,lamp
0,00:58:38,21-09-18,5,746,lamp
0,00:58:38,21-09-18,5,747,lamp
0,00:58:39,21-09-18,5,749,lamp
0,00:58:39,21-09-18,5,749,lamp
0,00:58:40,21-09-18,5,749,lamp
0,00:58:40,21-09-18,5,744,lamp
0,00:58:41,21-09-18,5,747,lamp
0,00:58:41,21-09-18,5,751,lamp
0,00:58:42,21-09-18,5,750,lamp
0,00:58:42,21-09-18,5,748,lamp
0,00:58:43,21-09-18,5,745,lamp
0,00:58:43,21-09-18,5,749,lamp
0,00:58:44,21-09-18,5,749,lamp
0,00:58:44,21-09-18,5,750,lamp
0,00:58:45,21-09-18,5,747,lamp
0,00:58:45,21-09-18,5,744,lamp
0,00:58:46,21-09-18,5,747,lamp
0,00:58:46,21-09-18,5,751,lamp
0,00:58:47,21-09-18,5,751,lamp
0,00:58:47,21-09-18,5,748,lamp
0,00:58:48,21-09-18,5,744,lamp
0,00:58:48,21-09-18,5,746,lamp
0,00:58:49,21-09-18,5,751,lamp
0,00:58:49,21-09-18,5,751,lamp
0,00:58:50,21-09-18,5,747,lamp
0,00:58:50,21-09-18,5,744,lamp
0,00:58:51,21-09-18,5,746,lamp
0,00:58:51,21-09-18,5,750,lamp
0,00:58:52,21-09-18,5,750,lamp
0,00:58:52,21-09-18,5,748,lamp
0,00:58:53,21-09-18,5,744,lamp
0,00:58:53,21-09-18,5,747,lamp
0,00:58:54,21-09-18,5,749,lamp
0,00:58:54,21-09-18,5,748,lamp
0,00:58:55,21-09-18,5,749,lamp
0,00:58:56,21-09-18,5,746,lamp
0,00:58:56,21-09-18,5,745,lamp
0,00:58:56,21-09-18,5,749,lamp
0,00:58:57,21-09-18,5,747,lamp
0,00:58:58,21-09-18,5,750,lamp
0,00:58:58,21-09-18,5,749,lamp
0,00:58:59,21-09-18,5,742,lamp
0,00:58:59,21-09-18,5,746,lamp
0,00:59:00,21-09-18,5,745,lamp
0,00:59:00,21-09-18,5,749,lamp
0,00:59:01,21-09-18,5,748,lamp
0,00:59:01,21-09-18,5,746,lamp
0,00:59:02,21-09-18,5,745,lamp
1,00:59:02,21-09-18,5,746,lamp
1,00:59:03,21-09-18,5,748,lamp
0,00:59:03,21-09-18,5,748,lamp
0,00:59:04,21-09-18,5,748,lamp
0,00:59:04,21-09-18,5,750,lamp
0,00:59:05,21-09-18,5,742,lamp
0,00:59:05,21-09-18,5,744,lamp
0,00:59:06,21-09-18,5,745,lamp
0,00:59:06,21-09-18,5,748,lamp
0,00:59:07,21-09-18,5,748,lamp
0,00:59:07,21-09-18,5,747,lamp
0,00:59:08,21-09-18,5,747,lamp
0,00:59:08,21-09-18,5,742,lamp
0,00:59:09,21-09-18,5,745,lamp
0,00:59:09,21-09-18,5,747,lamp
1,00:59:10,21-09-18,5,748,lamp
0,00:59:10,21-09-18,5,749,lamp
0,00:59:11,21-09-18,5,746,lamp
0,00:59:11,21-09-18,5,743,lamp
0,00:59:12,21-09-18,5,744,lamp
0,00:59:12,21-09-18,5,747,lamp
0,00:59:13,21-09-18,5,750,lamp
0,00:59:13,21-09-18,5,745,lamp
0,00:59:14,21-09-18,5,745,lamp
0,00:59:14,21-09-18,5,744,lamp
0,00:59:15,21-09-18,5,746,lamp
0,00:59:15,21-09-18,5,747,lamp
0,00:59:16,21-09-18,5,747,lamp
0,00:59:16,21-09-18,5,745,lamp
0,00:59:17,21-09-18,5,745,lamp
0,00:59:17,21-09-18,5,745,lamp
